AÑO,"MES","DEPARTAMENTO ","LUGAR DEL HECHO","ARMA EMPLEADA",EDAD DE LA VÍCTIMA,"SEXO DEL AUTOR 1","SEXO DEL AUTOR 2","EDAD DEL AUTOR 1","EDAD DEL AUTOR 2","VÍNCULO"
2023,"ENERO","ROCHA","VÍA PÚBLICA","ARMA DE FUEGO",70,"VARÓN","N/A","60","NULL","PAREJA / EXPAREJA"
2023,"ENERO","PAYSANDÚ","RESIDENCIA","ARMA CORTOPUNZANTE",27,"VARÓN","N/A","29","NULL","FAMILIAR"
2023,"ENERO","MONTEVIDEO","RESIDENCIA","ARMA DE FUEGO",18,"VARÓN","N/A","29","NULL","PAREJA / EXPAREJA"
2023,"FEBRERO","SAN JOSÉ","VÍA PÚBLICA","ARMA CORTOPUNZANTE",40,"VARÓN","N/A","21","NULL","PAREJA / EXPAREJA"
2023,"MARZO","LAVALLEJA","RESIDENCIA","FUERZA FÍSICA",77,"VARÓN","N/A","80","NULL","PAREJA / EXPAREJA"
2023,"ABRIL","ARTIGAS","RESIDENCIA","ARMA DE FUEGO",43,"VARÓN","N/A","55","NULL","PAREJA / EXPAREJA"
2023,"MAYO","SORIANO","RESIDENCIA","OTROS MEDIOS",32,"VARÓN","N/A","38","NULL","PAREJA / EXPAREJA"
2023,"MAYO","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",27,"MUJER","N/A","29","NULL","FAMILIAR"
2023,"JULIO","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",28,"VARÓN","N/A","50","NULL","PAREJA / EXPAREJA"
2023,"JULIO","COLONIA","RESIDENCIA","SIN DATO",23,"VARÓN","N/A","25","NULL","PAREJA / EXPAREJA"
2023,"AGOSTO","CANELONES","VÍA PÚBLICA","OTRAS ARMAS",23,"VARÓN","N/A","29","NULL","PAREJA / EXPAREJA"
2023,"AGOSTO","MALDONADO","VÍA PÚBLICA","FUERZA FÍSICA",17,"VARÓN","N/A","17","NULL","PAREJA / EXPAREJA"
2023,"SETIEMBRE","MONTEVIDEO","VÍA PÚBLICA","ARMA DE FUEGO",38,"VARÓN","N/A","48","NULL","PAREJA / EXPAREJA"
2023,"SETIEMBRE","CANELONES","RESIDENCIA","FUERZA FÍSICA",70,"VARÓN","N/A","72","NULL","PAREJA / EXPAREJA"
2023,"SETIEMBRE","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",47,"VARÓN","N/A","28","NULL","FAMILIAR"
2023,"OCTUBRE","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",24,"VARÓN","N/A","23","NULL","PAREJA / EXPAREJA"
2023,"OCTUBRE","SAN JOSÉ","RESIDENCIA","ARMA CORTOPUNZANTE",43,"MUJER","N/A","18","NULL","FAMILIAR"
2023,"OCTUBRE","CANELONES","RESIDENCIA","ARMA DE FUEGO",42,"VARÓN","N/A","41","NULL","PAREJA / EXPAREJA"
2023,"NOVIEMBRE","MALDONADO","RESIDENCIA","ARMA CORTOPUNZANTE",29,"VARÓN","N/A","35","NULL","PAREJA / EXPAREJA"
2023,"DICIEMBRE","MONTEVIDEO","VÍA PÚBLICA","FUERZA FÍSICA",25,"VARÓN","N/A","23","NULL","PAREJA / EXPAREJA"
2023,"DICIEMBRE","MONTEVIDEO","VÍA PÚBLICA","ARMA CORTOPUNZANTE",40,"VARÓN","N/A","35","NULL","PAREJA / EXPAREJA"
2023,"DICIEMBRE","CERRO LARGO","RESIDENCIA","ARMA CORTOPUNZANTE",47,"VARÓN","N/A","68","NULL","FAMILIAR"
2024,"ENERO","MONTEVIDEO","VÍA PÚBLICA","ARMA DE FUEGO",43,"VARÓN","VARÓN","50","29","PAREJA / EXPAREJA"
2024,"MARZO","MONTEVIDEO","RESIDENCIA","ARMA DE FUEGO",66,"VARÓN","N/A","69","NULL","PAREJA / EXPAREJA"
2024,"MARZO","CERRO LARGO","RESIDENCIA","OTROS MEDIOS",20,"VARÓN","N/A","53","NULL","PAREJA / EXPAREJA"
2024,"MARZO","MONTEVIDEO","RESIDENCIA","SIN DATO",81,"VARÓN","N/A","61","NULL","FAMILIAR"
2024,"ABRIL","RIVERA","VÍA PÚBLICA","ARMA DE FUEGO",6,"VARÓN","N/A","51","NULL","FAMILIAR"
2024,"ABRIL","SAN JOSÉ","RESIDENCIA","OTROS MEDIOS",79,"VARÓN","N/A","50","NULL","FAMILIAR"
2024,"ABRIL","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",56,"VARÓN","N/A","63","NULL","PAREJA / EXPAREJA"
2024,"MAYO","MALDONADO","RESIDENCIA","ARMA DE FUEGO",53,"VARÓN","N/A","57","NULL","PAREJA / EXPAREJA"
2024,"MAYO","MONTEVIDEO","VÍA PÚBLICA","ARMA DE FUEGO",38,"VARÓN","N/A","29","NULL","PAREJA / EXPAREJA"
2024,"JUNIO","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",55,"VARÓN","N/A","59","NULL","PAREJA / EXPAREJA"
2024,"JULIO","PAYSANDÚ","RESIDENCIA","ARMA DE FUEGO",70,"VARÓN","N/A","60","NULL","PAREJA / EXPAREJA"
2024,"JULIO","CANELONES","RESIDENCIA","ARMA DE FUEGO",30,"VARÓN","N/A","26","NULL","PAREJA / EXPAREJA"
2024,"JULIO","MONTEVIDEO","RESIDENCIA","SIN DATO",64,"VARÓN","N/A","23","NULL","FAMILIAR"
2024,"AGOSTO","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",51,"VARÓN","N/A","31","NULL","PAREJA / EXPAREJA"
2024,"AGOSTO","CANELONES","RESIDENCIA","ARMA CORTOPUNZANTE",64,"VARÓN","N/A","77","NULL","PAREJA / EXPAREJA"
2024,"SETIEMBRE","CANELONES","RESIDENCIA","ARMA CORTOPUNZANTE",49,"VARÓN","N/A","26","NULL","FAMILIAR"
2024,"SETIEMBRE","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",76,"VARÓN","N/A","45","NULL","FAMILIAR"
2024,"SETIEMBRE","SAN JOSÉ","RESIDENCIA","OBJETO PESADO",76,"VARÓN","N/A","43","NULL","FAMILIAR"
2024,"SETIEMBRE","LAVALLEJA","RESIDENCIA","ARMA DE FUEGO",0,"VARÓN","N/A","25","NULL","FAMILIAR"
2024,"OCTUBRE","CANELONES","RESIDENCIA","ARMA CORTOPUNZANTE",71,"VARÓN","N/A","26","NULL","FAMILIAR"
2024,"NOVIEMBRE","MONTEVIDEO","SIN DATO","FUERZA FÍSICA",0,"VARÓN","N/A","22","NULL","FAMILIAR"
2024,"DICIEMBRE","SORIANO","RESIDENCIA","ARMA CORTOPUNZANTE",47,"VARÓN","N/A","60","NULL","PAREJA / EXPAREJA"
